Code,Date,Open,High,Low,Close,Volume,Accum,Accum 2
PGLI,6/2/2020,298,310,296,300,102,117,100
PICO,6/2/2020,162,165,158,163,1206,90,0
PJAA,6/2/2020,470,540,470,535,5788,68,0
PKPK,6/2/2020,50,50,50,50,0,0,0
PLAS,6/2/2020,50,50,50,50,0,0,0
PLIN,6/2/2020,2200,2200,2120,2180,265,-112,0
PMJS,6/2/2020,126,131,126,127,2559,2233,0
PNBN,6/2/2020,750,765,735,740,30012,-13284,-10848
PNBS,6/2/2020,50,50,50,50,383,-383,0
PNIN,6/2/2020,815,815,795,810,1749,1708,1500
PNLF,6/2/2020,169,177,167,175,173637,-82622,-31941
PNSE,6/2/2020,570,570,570,570,0,0,0
POLA,6/2/2020,55,59,54,56,2244,-80,0
POLA-W,6/2/2020,17,17,17,17,0,0,0
POLI,6/2/2020,990,990,980,980,163,81,0
POLL,6/2/2020,7825,8200,7300,7850,285,43,31
POLU,6/2/2020,700,700,700,700,6,-1,0
POLY,6/2/2020,50,50,50,50,500,-500,0
POOL,6/2/2020,50,50,50,50,311,-208,0
PORT,6/2/2020,640,640,640,640,0,0,0
POSA,6/2/2020,50,50,50,50,93,86,0
POSA-W,6/2/2020,3,3,2,3,95336,85876,43873
POWR,6/2/2020,600,660,600,640,43997,-50218,-24415
PPRE,6/2/2020,196,204,195,204,237498,-13345,0
PPRO,6/2/2020,50,50,50,50,66095,-52625,-26788
PRAS,6/2/2020,140,159,140,159,153,-32,0
PRDA,6/2/2020,3130,3140,3120,3130,219,-30,-76
PRIM,6/2/2020,280,302,280,280,36,24,0
PRIM-W,6/2/2020,6,7,5,6,4476,-1000,0
PSAB,6/2/2020,190,192,188,190,94262,428,-1
PSDN,6/2/2020,114,114,114,114,18,-10,0
PSGO,6/2/2020,103,109,103,107,346,-131,0
PSKT,6/2/2020,50,50,50,50,2,0,0
PSSI,6/2/2020,140,147,140,146,1080,-309,0
PTBA,6/2/2020,1975,2100,1970,2080,1255644,-226842,-192244
PTIS,6/2/2020,177,216,177,194,201,-27,0
PTPP,6/2/2020,735,755,730,740,447627,24978,15454
PTPW,6/2/2020,815,860,810,850,50197,6730,1956
PTRO,6/2/2020,1225,1245,1220,1245,8166,187,2
PTSN,6/2/2020,161,164,160,161,43320,-25508,-19955
PTSP,6/2/2020,3620,3620,3620,3620,1,0,0
PUDP,6/2/2020,220,220,220,220,0,0,0
PURA,6/2/2020,75,77,73,77,344504,-48087,-3478
PURA-W,6/2/2020,4,5,3,4,261971,-6893,-1521
PURE,6/2/2020,91,93,89,90,41065,3344,173
PURE-W,6/2/2020,15,15,13,13,9269,-5923,-44
PWON,6/2/2020,370,388,364,384,4393278,247343,148868
PYFA,6/2/2020,464,500,464,496,9699,-1139,300
PZZA,6/2/2020,750,750,705,725,2792,626,-66
R-ABFII,6/2/2020,28600,28600,28600,28600,0,0,0
R-LQ45X,6/2/2020,764,802,764,798,234,26,0
RAJA,6/2/2020,95,97,92,95,34965,-159,-33
RALS,6/2/2020,570,630,570,610,314146,-101475,-77644
RANC,6/2/2020,322,340,320,322,446,-580,-300
RBMS,6/2/2020,50,50,50,50,171,-322,-171
RDTX,6/2/2020,4560,4560,4560,4560,0,0,0
REAL,6/2/2020,54,54,52,53,190549,-3529,-600
REAL-W,6/2/2020,7,7,6,7,42196,24995,0
RELI,6/2/2020,288,288,288,288,0,0,0
RICY,6/2/2020,99,99,98,99,253,-130,0
RIGS,6/2/2020,194,194,194,194,112,109,0
RIMO,6/2/2020,50,50,50,50,0,0,0
RISE,6/2/2020,426,426,414,426,4121,434,-21
RMBA,6/2/2020,248,272,236,236,86,-68,0
RODA,6/2/2020,50,50,50,50,33,-33,0
RONY,6/2/2020,166,167,165,166,302,118,0
ROTI,6/2/2020,1270,1275,1250,1275,1107,389,-51
RUIS,6/2/2020,170,170,170,170,300,0,0
SAFE,6/2/2020,192,197,192,196,2871,-942,0
SAME,6/2/2020,108,138,103,112,197458,192691,0
SAMF,6/2/2020,410,414,410,412,4856,-230,0
SAPX,6/2/2020,1460,1460,1460,1460,0,0,0
SATU,6/2/2020,50,50,50,50,42,0,0
SBAT,6/2/2020,106,107,103,106,103008,3432,1975
SBAT-W,6/2/2020,6,6,4,5,36885,2872,5010
SCCO,6/2/2020,9225,9225,9225,9225,0,0,0
SCMA,6/2/2020,1000,1000,960,965,348955,2604,908
SCPI,6/2/2020,29000,29000,29000,29000,0,0,0
SDMU,6/2/2020,50,50,50,50,0,0,0
SDPC,6/2/2020,95,95,91,93,159,5,-47
SDRA,6/2/2020,860,900,840,870,426,12,0
SFAN,6/2/2020,640,640,615,615,201,-392,-200
SFAN-W,6/2/2020,246,246,246,246,120,-240,-120
SGRO,6/2/2020,2340,2340,2300,2320,1863,1447,-128
